时间,Bms_Life,总电压,电流,SOC,充电MOS,放电MOS,电池串数,温度个数,剩余容量,最高电压,位置最高电压,最低电压,位置最低电压,最高温度,位置最高温度,最低温度,位置最低温度,CellV_1,CellV_2,CellV_3,CellV_4,CellV_5,CellV_6,CellV_7,CellV_8,CellV_9,CellV_10,CellV_11,CellV_12,CellV_13,CellV_14,CellV_15,Temp_1,故障代码1,故障代码2,故障代码3,故障代码4,故障代码5,故障代码6,故障代码7,故障代码8,充放电次数,DI1,DI2,DI3,DI4,DO1,DO2,DO3,DO4,板号
17:24:47,106,49.5,0,70,ON,ON,15,1,420,3.322,9,3.288,5,22,1,22,1,3.297,3.302,3.303,3.296,3.288,3.29,3.292,3.296,3.322,3.304,3.301,3.301,3.31,3.296,3.301,22,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
17:24:49,107,49.5,0,70,ON,ON,15,1,420,3.322,9,3.288,5,22,1,22,1,3.297,3.302,3.303,3.296,3.288,3.29,3.292,3.297,3.322,3.304,3.301,3.301,3.31,3.296,3.301,22,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
17:24:50,109,49.5,0,70,ON,ON,15,1,420,3.322,9,3.288,5,22,1,22,1,3.297,3.303,3.303,3.296,3.288,3.29,3.292,3.297,3.322,3.305,3.301,3.301,3.31,3.296,3.301,22,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
17:24:51,110,49.5,0,70,ON,ON,15,1,420,3.322,9,3.288,5,22,1,22,1,3.297,3.303,3.303,3.296,3.288,3.29,3.292,3.297,3.322,3.304,3.301,3.301,3.31,3.296,3.301,22,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
17:24:53,112,49.5,0,70,ON,ON,15,1,420,3.322,9,3.288,5,22,1,22,1,3.297,3.302,3.303,3.296,3.288,3.29,3.292,3.297,3.322,3.305,3.301,3.301,3.31,3.296,3.301,22,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
17:24:55,114,49.5,0,70,ON,ON,15,1,420,3.322,9,3.288,5,22,1,22,1,3.297,3.303,3.303,3.296,3.288,3.29,3.292,3.297,3.322,3.304,3.301,3.301,3.31,3.296,3.301,22,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
17:24:57,117,49.5,0,70,ON,ON,15,1,420,3.322,9,3.288,5,22,1,22,1,3.297,3.302,3.303,3.296,3.288,3.29,3.292,3.297,3.322,3.305,3.301,3.301,3.31,3.296,3.301,22,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
17:24:59,118,49.4,0,70,ON,ON,15,1,420,3.322,9,3.288,5,22,1,22,1,3.297,3.302,3.303,3.296,3.288,3.29,3.292,3.296,3.322,3.304,3.301,3.301,3.31,3.296,3.301,22,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
17:25:01,120,49.4,0,70,ON,ON,15,1,420,3.322,9,3.288,5,22,1,22,1,3.297,3.302,3.303,3.296,3.288,3.29,3.292,3.296,3.322,3.304,3.301,3.301,3.31,3.296,3.301,22,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
17:25:02,121,49.4,0,70,ON,ON,15,1,420,3.322,9,3.288,5,22,1,22,1,3.297,3.303,3.303,3.296,3.288,3.29,3.292,3.297,3.322,3.304,3.301,3.301,3.31,3.296,3.301,22,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
